code;label;description
TAILOR;Couturier;Couturier , tailleur, createur de mode
SELLER;Vendeur;Vendeur d'articles destinés à la couture
MANNEQUIN;Manequin;Manequin
EVENT_MAKER;Organisateur d'évenement;Organisateur d'évenement, pouvant concerner la mode
